		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010011111  265  242  253  231  229  238  249  233  6.338982 0.609318 SUCCESS  59
010100011  242  276  253  264  258  248  255  240  4.712994 0.787765 SUCCESS  60
010100111  255  239  278  234  242  261  233  208 14.159911 0.077691 SUCCESS  61
010101011  275  255  252  241  251  236  269  249  5.357390 0.718784 SUCCESS  62
010101111  270  277  245  234  255  248  254  244  6.172323 0.627936 SUCCESS  63
010110011  241  224  249  231  216  245  256  271 11.480832 0.175914 SUCCESS  64
010110111  247  252  226  237  242  242  229  246  5.546287 0.697907 SUCCESS  65
010111011  264  262  251  274  273  274  291  229 17.160541 0.028480 SUCCESS  66
010111111  256  260  252  250  247  239  280  269  6.341180 0.609073 SUCCESS  67
011000111  257  255  280  261  271  221  227  251 12.030327 0.149856 SUCCESS  68
011001111  265  261  240  232  240  239  266  273  7.350053 0.499378 SUCCESS  69
011010111  225  267  246  252  251  259  257  264  5.219952 0.733830 SUCCESS  70
011011111  221  227  246  252  233  260  235  274 10.667709 0.221247 SUCCESS  71
011101111  263  257  255  273  281  278  258  243 10.895265 0.207705 SUCCESS  72
011111111  281  250  242  250  245  266  279  241  9.225059 0.323668 SUCCESS  73
100000000  261  229  241  252  274  252  255  247  5.218659 0.733970 SUCCESS  74
100010000  249  247  260  261  235  259  248  255  2.343572 0.968627 SUCCESS  75
100100000  239  259  231  218  245  228  248  260  9.092921 0.334518 SUCCESS  76
100101000  242  262  246  244  262  246  225  260  4.735620 0.785423 SUCCESS  77
100110000  246  224  261  248  234  250  243  245  4.739240 0.785048 SUCCESS  78
100111000  234  245  230  236  238  245  227  243  6.705915 0.568669 SUCCESS  79
101000000  252  236  257  237  273  240  248  264  5.160218 0.740323 SUCCESS  80
101000100  283  247  251  269  244  255  258  237  7.262651 0.508578 SUCCESS  81
101001000  253  266  230  270  271  243  278  255  9.789293 0.280127 SUCCESS  82
101001100  248  218  255  249  231  266  252  236  7.735216 0.459753 SUCCESS  83
101010000  244  262  249  260  253  232  247  240  2.989648 0.935005 SUCCESS  84
101010100  270  254  241  259  243  234  257  225  6.439701 0.598104 SUCCESS  85
101011000  254  257  270  251  232  260  238  263  4.980501 0.759658 SUCCESS  86
101011100  263  252  239  240  262  258  247  292  9.833123 0.276934 SUCCESS  87
101100000  237  229  262  273  248  265  250  256  6.407248 0.601713 SUCCESS  88
101100100  253  271  243  234  244  257  220  241  7.529382 0.480735 SUCCESS  89
101101000  277  258  266  227  263  241  281  230 13.199653 0.105162 SUCCESS  90
101101100  242  266  235  289  285  252  237  253 14.376735 0.072459 SUCCESS  91
101110000  241  226  272  241  222  247  229  224 12.945592 0.113735 SUCCESS  92
101110100  243  263  236  239  269  250  285  261  9.281947 0.319072 SUCCESS  93
101111000  278  257  269  246  254  255  251  259  5.524048 0.700374 SUCCESS  94
101111100  230  242  261  246  230  274  250  281 10.502473 0.231513 SUCCESS  95
110000000  273  255  266  274  262  265  241  237  8.304881 0.404269 SUCCESS  96
110000010  237  247  246  245  238  263  212  257  8.371079 0.398086 SUCCESS  97
110000100  224  238  242  233  220  235  236  213 15.962125 0.042925 SUCCESS  98
110001000  215  262  268  247  240  261  240  268  9.710554 0.285932 SUCCESS  99
110001010  252  243  249  267  257  280  244  267  6.697770 0.569564 SUCCESS 100
110010000  256  226  226  232  250  234  258  253  7.608509 0.472615 SUCCESS 101
110010010  233  269  275  248  246  239  236  224  9.462440 0.304798 SUCCESS 102
110010100  237  244  245  251  243  240  247  251  1.608154 0.990763 SUCCESS 103
110011000  247  261  254  265  245  256  236  247  2.636937 0.955039 SUCCESS 104
110011010  266  257  263  268  273  224  254  252  8.377285 0.397510 SUCCESS 105
110100000  252  233  248  236  288  257  243  270 10.078004 0.259594 SUCCESS 106
110100010  258  249  240  249  265  237  262  232  4.252194 0.833683 SUCCESS 107
110100100  240  291  263  256  286  254  257  250 13.860339 0.085479 SUCCESS 108
110101000  251  263  270  231  294  253  259  247 12.280251 0.139131 SUCCESS 109
110101010  271  268  258  266  248  250  266  228  7.574376 0.476110 SUCCESS 110
110101100  236  254  262  263  238  258  240  270  5.104105 0.746394 SUCCESS 111
110110000  239  247  264  258  258  283  268  217 12.234481 0.141045 SUCCESS 112
110110010  276  248  244  244  264  247  230  259  5.951103 0.652709 SUCCESS 113
110110100  278  240  256  235  250  286  266  245 11.269180 0.186909 SUCCESS 114
110111000  240  238  252  240  225  240  249  253  4.472638 0.812164 SUCCESS 115
110111010  272  264  244  246  242  249  283  266  8.870796 0.353313 SUCCESS 116
110111100  263  256  265  241  254  234  269  251  4.741568 0.784807 SUCCESS 117
111000000  246  267  272  263  263  256  241  221  8.630182 0.374447 SUCCESS 118
111000010  244  226  230  258  194  233  234  238 20.258788 0.009400 FAILURE 119
111000100  226  241  267  236  238  255  258  263  6.386044 0.604073 SUCCESS 120
111000110  252  221  220  214  278  262  250  265 17.347240 0.026690 SUCCESS 121
111001000  236  244  256  262  232  255  251  267  4.348776 0.824365 SUCCESS 122
111001010  237  244  261  267  240  228  248  243  5.175863 0.738625 SUCCESS 123
111001100  246  272  240  282  273  247  241  238  9.880962 0.273480 SUCCESS 124
111010000  260  232  241  236  271  258  248  248  5.022004 0.755222 SUCCESS 125
111010010  235  270  240  246  259  277  251  255  6.528913 0.588202 SUCCESS 126
111010100  246  253  232  235  275  260  271  254  7.268598 0.507950 SUCCESS 127
111010110  225  245  247  267  245  235  242  256  5.365406 0.717902 SUCCESS 128
111011000  257  244  245  280  266  254  245  234  6.469956 0.594742 SUCCESS 129
111011010  265  258  248  241  258  276  257  252  4.835434 0.775012 SUCCESS 130
111011100  257  242  250  250  239  257  232  247  2.545269 0.959587 SUCCESS 131
111100000  242  253  258  251  278  277  263  235  8.468307 0.389110 SUCCESS 132
111100010  270  264  270  256  241  282  237  257  9.753479 0.282757 SUCCESS 133
111100100  238  241  259  242  213  254  248  236  8.079653 0.425728 SUCCESS 134
